id,nome,cpf,email,telefone,endereco,data_nascimento,profissao,salario,estado_civil
27903,Dra. Lorena da Cruz,078.162.945-49,limamaria-vitoria@uol.com.br,(051) 8883-9563,"Lago Lívia Castro, 73, Vila Inestan, 47096-659 Pinto / TO",1945-02-15,Despachante,33816,Viúvo
27904,Manuela Costa,358.210.679-95,cavalcantimarcelo@caldeira.br,0300-515-9346,"Favela Yago Gonçalves, 3, Bonsucesso, 50411620 Pereira do Norte / RO",1946-11-05,Surfista,2732,Viúvo
27905,Stella Pereira,670.495.123-70,laura01@rezende.br,41 2916 5827,"Jardim Costa, 65, Buritis, 76049796 Aragão de Minas / GO",1998-01-26,Triatleta,57502,Divorciado
27906,Dr. Alexandre Aragão,086.297.513-12,pfarias@fernandes.com,51 1047 0483,"Alameda Enzo Gabriel Farias, 3, Santa Rita, 77019142 Ribeiro dos Dourados / AM",1992-11-01,Segurança particular,48521,Casado
27907,Pedro Pereira,021.546.873-26,vvieira@goncalves.net,(011) 0502 4799,"Lagoa Freitas, 3, Beira Linha, 08068590 Rodrigues do Galho / PE",1980-12-23,Soldador,1961,Divorciado
27908,Ana Beatriz Oliveira,647.518.092-02,bgomes@silva.com,0500-951-4058,"Morro da Rosa, 27, Cabana Do Pai Tomás, 99641583 Lopes / DF",1958-11-24,Engraxate,22445,Viúvo
27909,Luiz Henrique Barros,186.935.407-93,cecilia58@da.com,+55 41 2506-4088,"Residencial Melo, Marçola, 91871348 da Mota dos Dourados / SP",1962-08-22,Engenheiro florestal,89172,Casado
27910,Srta. Heloísa Rocha,143.872.065-35,da-cruzmelissa@gmail.com,+55 (031) 8666-0216,"Parque Maria Rocha, 55, Santa Monica, 74930167 Rocha de Duarte / AC",1997-04-14,Técnico em higiene dentária,8245,Casado
27911,Davi Lucas Duarte,729.310.856-77,kamillynogueira@uol.com.br,+55 (071) 6842 2722,"Avenida Luiz Fernando Carvalho, 83, Nova Gameleira, 34443659 Ferreira de Goiás / SE",1965-07-01,Antropólogo,92745,Viúvo
27912,João Guilherme Lima,981.403.675-75,livia67@souza.org,(011) 4646 8065,"Pátio Aragão, 78, Solimoes, 09445299 Viana / RR",2003-10-29,Escrivão,47519,Casado
27913,Marcelo Santos,215.643.890-06,maria-clara86@yahoo.com.br,+55 (011) 5740 6387,"Chácara Davi Luiz Duarte, 884, Cabana Do Pai Tomás, 14822203 da Rocha do Oeste / AP",1982-01-11,Ceramista,4386,Divorciado
27914,Marcela da Cunha,987.312.465-91,da-mataesther@hotmail.com,(051) 8986-8313,"Esplanada Otávio Gomes, 5, Grotinha, 24396-831 Silveira / TO",2003-04-24,Plastimodelista,16892,Solteiro
27915,Vicente Porto,124.670.358-08,rribeiro@uol.com.br,0500-035-0048,"Jardim Porto, Novo Das Industrias, 86114574 da Cunha de Minas / BA",1936-01-02,Pianista,65600,Solteiro
27916,Pedro Azevedo,164.859.723-82,tmendes@barbosa.br,+55 (061) 3608-4276,"Rodovia de da Luz, 788, Saudade, 36544-837 Lopes / RR",1999-11-12,Caça-talentos/Olheiro,73775,Solteiro
27917,Enrico Peixoto,942.601.853-06,isaac60@hotmail.com,(011) 2551 3521,"Aeroporto de Almeida, 82, Vale Do Jatoba, 63954557 da Cruz / MG",1940-08-19,Contabilista,94267,Divorciado
27918,Vinicius Porto,215.367.840-44,rochapaulo@da.org,+55 (011) 3835-2380,"Condomínio de Moreira, 9, Madri, 35144010 Barros / RN",1938-05-26,Contábil,73561,Solteiro
27919,Kevin Duarte,539.871.026-59,bjesus@fogaca.br,+55 (051) 8247-8669,"Trevo de Melo, 575, Ouro Minas, 85455-688 da Paz da Serra / PI",1963-03-11,Soldador,90455,Divorciado
27920,Eduardo da Cunha,962.351.048-98,miguel54@correia.org,+55 71 9739 3262,"Pátio Nicolas Viana, Lagoa, 92267078 Oliveira / MA",1995-07-07,Tecnólogo em jogos digitais,34567,Casado
27921,Maria Alice Moraes,175.203.468-62,fernando43@ig.com.br,(021) 2603 5927,"Rua de Souza, Goiania, 12444-895 Costela dos Dourados / ES",1951-09-10,Tenente,49843,Solteiro
27922,Lucas Gabriel Sales,015.473.862-07,davi-luizgoncalves@lopes.br,31 4495 0406,"Avenida de Ribeiro, 26, Alto Dos Pinheiros, 82209-310 Pinto / AC",1998-03-22,Tecnólogo em silvicultura,72505,Solteiro
27923,Luiza Souza,283.159.476-64,leandrocorreia@ig.com.br,(084) 1976 6730,"Esplanada de Freitas, 5, Dom Cabral, 75464-778 Moreira / PA",1947-10-29,Engenheiro industrial,42611,Viúvo
27924,Juliana Melo,587.214.036-35,costelalorenzo@dias.br,+55 11 5000 2679,"Travessa Fogaça, 64, Barão Homem De Melo 2ª Seção, 48673924 da Mota / MS",1954-03-19,Catador de material reciclável,96086,Viúvo
27925,Bernardo da Rosa,154.986.032-15,icavalcanti@pires.com,51 7119 6835,"Feira Silva, 19, João Alfredo, 01539-475 Santos Paulista / DF",1998-11-18,Profissional de hotelaria,30880,Viúvo
27926,Evelyn Barros,019.368.425-05,daniela56@yahoo.com.br,(084) 0925-1141,"Núcleo Gabriela Lopes, 383, Mirante, 82776871 Cardoso / SC",1975-07-25,Supervisor,78903,Divorciado
27927,Lucas Gabriel Pinto,831.720.946-69,luccada-luz@hotmail.com,31 8062 8236,"Praia Maria Eduarda Duarte, 9, Bom Jesus, 55376415 Caldeira da Serra / PE",1995-04-29,Prefeito,23685,Solteiro
27928,Lorenzo da Paz,071.695.432-06,oliviapires@uol.com.br,81 5985 6419,"Trecho Eloah Cardoso, 24, Vila Santo Antônio Barroquinha, 48104-380 Viana / PA",1947-12-28,Cardiologista,38572,Solteiro
27929,Dr. Leonardo da Paz,972.546.081-20,bernardoda-rosa@bol.com.br,0300-891-2607,"Recanto Gomes, 415, Marieta 3ª Seção, 07659-161 Cardoso da Praia / AM",2002-08-02,Amolador de ferramentas,70306,Viúvo
27930,Thiago Araújo,276.945.381-55,eteixeira@bol.com.br,+55 (081) 1768 7194,"Praça Júlia Lopes, 36, Vila Maloca, 11092608 Cardoso / CE",1957-01-04,Neurologista,24151,Divorciado
27931,Alexandre Araújo,975.410.382-88,gustavo-henriquemelo@hotmail.com,(041) 9448-1198,"Esplanada de da Rosa, 58, Vila Puc, 46109-982 Freitas do Norte / RO",1947-03-30,Cadeirinha,94142,Divorciado
27932,Julia Ramos,645.280.391-33,ofarias@hotmail.com,+55 51 8375 9005,"Lago Barbosa, 24, Betânia, 70243065 Cunha / PB",1943-01-02,Tecnólogo em automação industrial,15271,Solteiro
27933,Laís Cardoso,072.983.614-22,camposemanuel@costela.com,+55 61 1432 3912,"Conjunto Almeida, 4, Capitão Eduardo, 26611-737 Souza / RR",1955-06-23,Operador de vídeo,11494,Viúvo
27934,Calebe Costela,129.683.074-87,bernardofarias@martins.com,+55 61 0432-5249,"Largo Maria Luiza Lima, 831, Palmares, 48734-606 Fernandes / RO",1997-08-10,Corretor de seguros,65418,Solteiro
27935,Camila Jesus,250.197.368-21,pietra80@melo.net,+55 (061) 9844 5421,"Rua de Monteiro, 81, Cinquentenário, 53238171 Melo / MT",1953-12-02,Comissário de bordo,17475,Divorciado
27936,Heloísa Freitas,053.827.419-05,maria-vitoria89@ig.com.br,+55 (081) 5861-2997,"Passarela Fernandes, 67, Custodinha, 97806-803 da Paz / MA",1954-06-10,Jogador de hóquei,78389,Divorciado
27937,Sr. Augusto da Cunha,723.954.068-56,ana-liviamartins@gmail.com,(031) 6052-4486,"Travessa de Cavalcanti, Das Industrias I, 25980154 Rodrigues do Campo / SE",1979-10-13,Técnico tributarista,58419,Solteiro
27938,Isabel Moreira,457.032.981-05,gabrielly50@ig.com.br,+55 21 1834-0179,"Praça de Lima, 62, Prado, 71077262 Costela / BA",1954-07-09,Jangadeiro,85557,Divorciado
27939,Juan Campos,739.680.524-47,zmoura@almeida.br,81 5126-4496,"Estação Cardoso, 859, São Jorge 3ª Seção, 56602-744 Caldeira Grande / DF",1986-05-16,Tintureiro,99276,Solteiro
27940,Milena Farias,450.379.861-84,cnunes@azevedo.br,+55 (041) 6189 5344,"Rodovia de Ramos, 45, Ipiranga, 14301-898 da Rosa / PB",1964-06-10,Juiz de direito,36484,Solteiro
27941,Luana Rodrigues,305.248.169-05,emanuelly46@hotmail.com,+55 71 3700-5486,"Lagoa Maria Vitória Gonçalves, 668, Ouro Minas, 85915-111 Jesus de Ramos / AP",1982-10-11,Faturista,49191,Solteiro
27942,Ana Luiza Farias,048.215.679-11,almeidayago@rocha.com,(041) 8167-9399,"Setor Emilly Azevedo, 79, São Lucas, 71853-104 Barbosa / BA",2007-07-21,Capitão,42093,Viúvo
27943,Mariana Sales,460.925.781-58,theocastro@cunha.com,+55 (011) 8057-5161,"Praça Helena Porto, 7, Custodinha, 23009016 das Neves / AL",1974-06-26,Patinador,4387,Casado
27944,Davi Moreira,783.651.209-68,isis47@bol.com.br,(051) 6409 4343,"Residencial Pedro Miguel Oliveira, 76, Vila Suzana Primeira Seção, 85936723 Almeida / RN",1979-06-05,Engenheiro sanitarista,26341,Solteiro
27945,Bryan da Rosa,369.214.875-55,matheusda-luz@gmail.com,84 4943-8931,"Largo Marina Cavalcanti, 95, Anchieta, 25484-632 Cardoso / SC",1957-03-16,Gourmet,92105,Divorciado
27946,Bruno Ferreira,658.913.207-03,diego20@gmail.com,84 2925 7552,"Estação Moreira, 708, Cônego Pinheiro 2ª Seção, 56654394 da Paz do Amparo / ES",2004-06-30,Vereador,98109,Viúvo
27947,Sophia Peixoto,690.821.753-12,joao-guilhermemartins@rezende.br,(051) 9405-8741,"Aeroporto de Farias, 94, São Jorge 3ª Seção, 53268789 Alves da Prata / PE",2006-01-23,Orçamentista,15143,Solteiro
27948,Catarina Aragão,726.938.054-65,joao-felipe99@ig.com.br,+55 (071) 6758 4869,"Esplanada de Cavalcanti, 46, Belvedere, 18162-890 da Paz / MA",1938-03-14,Juiz de direito,14847,Divorciado
27949,Vitória da Luz,029.357.684-00,tcardoso@bol.com.br,31 6754-6635,"Sítio de Aragão, 33, Universitário, 94318794 Porto / CE",1999-08-02,Açougueiro,56841,Casado
27950,Dra. Emilly Almeida,685.374.920-00,gsilva@bol.com.br,(061) 8199 2995,"Travessa Costela, 7, Coração Eucarístico, 88089-368 Barbosa / GO",2003-11-25,Funileiro,25374,Divorciado
27951,Alana Nunes,457.086.392-29,eribeiro@ferreira.br,0900-916-0206,"Aeroporto de Moreira, Pindorama, 53390755 Novaes de das Neves / RN",1996-01-09,Editor de mesa de corte,88500,Viúvo
27952,Dra. Stella Duarte,362.150.948-89,luigi34@moreira.br,+55 31 5504 0084,"Alameda Cardoso, 30, Novo São Lucas, 66359-181 Alves / MA",1998-10-12,Policial militar,73179,Divorciado
27953,Ana Laura Fogaça,345.802.761-08,marianefarias@campos.br,0500-692-2918,"Vila de Cavalcanti, Vila São Dimas, 10187528 da Costa de Pires / MS",2005-04-19,Profissional de hotelaria,80365,Divorciado
27954,Srta. Alana Campos,283.965.417-28,kpeixoto@yahoo.com.br,31 9110-7356,"Vereda Lucca das Neves, 77, Conjunto Providencia, 14400-076 da Paz de Moraes / GO",1992-07-04,Psicólogo,95348,Divorciado
27955,Maitê da Cruz,153.402.896-05,caroline61@aragao.org,(031) 3619 1225,"Via de Correia, 76, Estrela, 78451-481 Moreira / RO",1984-01-26,Profissional de linguística,46468,Solteiro
27956,Francisco Araújo,390.514.687-84,juan83@souza.br,(071) 6400-0762,"Quadra das Neves, 62, Barão Homem De Melo 3ª Seção, 79136834 Porto / RR",1999-11-17,Eletricista de automóveis,12986,Viúvo
27957,Laura Barros,645.398.712-00,icastro@bol.com.br,81 1908-8278,"Chácara Luigi da Rocha, 87, Estoril, 16866-955 Aragão do Campo / PR",1975-03-07,Amolador de ferramentas,13806,Casado
27958,Thales Nunes,395.078.642-29,benicioda-costa@hotmail.com,(031) 1595-6479,"Morro Ribeiro, 8, Andiroba, 89112-811 Fernandes / RO",1993-06-06,Secretária,49562,Divorciado
27959,João Pedro Cunha,103.726.548-35,costabenicio@gmail.com,+55 (081) 8397 2078,"Praça Costela, 31, Vila São Rafael, 36922807 Ramos das Flores / ES",1959-01-08,Tecnólogo em esporte e lazer,64754,Divorciado
27960,Helena Costa,691.547.208-85,rmoraes@oliveira.com,0500-479-3349,"Fazenda de Vieira, 20, Conjunto Celso Machado, 60317-903 Barbosa / PB",1963-01-21,Marceneiro,4511,Solteiro
27961,Sr. Gustavo Henrique Silveira,324.891.507-23,nicole60@pinto.net,(041) 3613-3278,"Distrito de Sales, 81, Sagrada Família, 11821023 Caldeira / SP",1984-01-01,Embalador,14833,Solteiro
27962,João Miguel Rezende,291.486.075-76,fnovaes@bol.com.br,(041) 8888-3263,"Loteamento Mariane da Rosa, 79, Unidas, 48223-659 Correia do Amparo / RS",1957-07-18,Montador de negativos,76340,Viúvo
27963,Lara Oliveira,246.078.195-49,mariane94@alves.com,71 8374-9051,"Quadra Francisco Pinto, 19, Novo Das Industrias, 76730475 Ribeiro / AL",1993-05-23,Aeromoça,82166,Casado
27964,Nathan da Mata,901.375.684-01,isabella02@yahoo.com.br,84 5063-1031,"Conjunto Davi Lucas Freitas, 46, Cidade Jardim, 49966079 Costa Alegre / BA",1947-02-28,Político,92235,Divorciado
27965,Camila Cavalcanti,754.920.861-11,calebe04@ig.com.br,+55 (041) 4481 1232,"Fazenda Araújo, 39, Alpes, 12480-393 Sales / MG",1969-12-21,Deputado,11083,Casado
27966,Cauã Gonçalves,956.437.108-20,omonteiro@ig.com.br,21 0872 1192,"Sítio Luiz Fernando Melo, 17, São Cristóvão, 10689-414 Cavalcanti de Melo / TO",1960-12-05,Roteirista,37370,Viúvo
27967,Clarice da Luz,140.293.785-79,ana-laurasilveira@ig.com.br,+55 84 3450-1124,"Ladeira de da Mota, Flavio Marques Lisboa, 49583-224 Barros dos Dourados / MT",1938-10-15,Maitre,79060,Solteiro
27968,Ana Laura Ramos,176.259.304-16,ana-luiza93@pires.com,(061) 7354 3983,"Passarela de Lima, 40, Maria Goretti, 88229-042 Barros / RR",1943-03-20,Protesista,51898,Casado
27969,Sr. Antônio Ferreira,973.450.128-32,monteiropedro-lucas@farias.org,(061) 2360-4617,"Jardim Sophie Jesus, 826, Maravilha, 87535-617 Cardoso / PI",1962-11-14,Estampador de tecidos,39985,Divorciado
27970,Srta. Valentina Correia,701.846.239-87,camposdaniel@nascimento.org,+55 31 0026-8526,"Viaduto Novaes, Horto Florestal, 17042-886 Teixeira Verde / TO",1944-08-31,Mãe social,94730,Solteiro
27971,Amanda Moraes,961.348.057-93,larissadas-neves@lima.com,(021) 6197-7047,"Trecho de Silva, 88, Vila União, 85032-659 da Mata de Goiás / MG",1969-05-27,Tecnólogo em silvicultura,57848,Solteiro
27972,Sophie Gomes,825.071.369-95,salesana-beatriz@caldeira.com,+55 11 4671-0992,"Estação Vieira, 6, Morro Dos Macacos, 33690006 da Costa / RO",1995-11-06,Caixa,42557,Solteiro
27973,Juliana Silva,639.158.027-86,rafaela73@ig.com.br,41 3037 2773,"Condomínio da Cunha, 80, Vila São Francisco, 35270602 Duarte / CE",1999-10-27,Cadeirinha,7050,Viúvo
27974,Stella da Paz,240.358.617-07,marcela60@lopes.br,+55 61 4566 1100,"Conjunto Lima, 83, Gameleira, 88337-832 Monteiro de Goiás / BA",1950-03-06,Repositor,61178,Viúvo
27975,Dr. Erick Araújo,239.145.678-64,pda-luz@da.com,+55 71 2183 4518,"Passarela de Ramos, 277, Maria Tereza, 15071-017 da Rocha do Sul / MS",1988-06-13,Produtor musical,84274,Viúvo
27976,Yasmin Farias,740.962.531-70,jesusbernardo@hotmail.com,+55 (081) 8550-4506,"Trevo de Gomes, 73, Olaria, 40781-157 Aragão / RR",1938-11-18,Assistente administrativo,87834,Solteiro
27977,Dr. Matheus Rezende,823.017.465-26,moreiraana-carolina@campos.com,+55 (051) 0550-3656,"Travessa de Viana, São Salvador, 06718272 Monteiro do Oeste / TO",2004-04-28,Político,51076,Solteiro
27978,Lucca Costa,735.826.941-19,maite21@santos.com,+55 (061) 3270-4913,"Largo Nunes, 21, Vera Cruz, 32822-536 Nogueira / PR",1947-02-21,Profissional de hotelaria,47874,Divorciado
27979,Alana Silveira,043.217.985-23,tpereira@caldeira.com,+55 84 9289 6999,"Ladeira Ana Carolina Lopes, 618, Olhos D'água, 42595-885 Moreira / AM",1940-11-25,Cantor,12344,Casado
27980,Alexia Ramos,452.380.917-88,fmoreira@ig.com.br,0500 079 1025,"Feira da Rosa, 13, Buritis, 79558-975 Correia da Praia / SP",1999-12-19,Astronauta,24426,Divorciado
27981,Alana Carvalho,354.892.710-60,moreiravitor-hugo@ig.com.br,(081) 7400 4876,"Aeroporto Rocha, 52, Piraja, 05531876 Correia / PB",1987-10-31,Técnico em higiene dentária,8820,Casado
27982,Murilo Carvalho,635.124.978-37,jmoraes@farias.br,84 5485 5639,"Via de Vieira, 573, Comiteco, 76423048 Correia Verde / SC",1964-11-20,Panificador/Padeiro,85516,Solteiro
27983,Caio Mendes,375.219.048-50,joao-felipe85@yahoo.com.br,(021) 7878 2227,"Rodovia de Araújo, 11, Vila Copacabana, 29231-220 da Cunha / AP",1970-08-14,Agrimensor,67006,Casado
27984,Luiz Fernando da Mota,851.723.609-21,ninada-rocha@bol.com.br,(041) 5524-5583,"Área de da Cunha, 49, Santa Cruz, 63454-252 Silva / MS",1955-12-27,Dedetizador,23234,Solteiro
27985,Melissa Silva,750.138.629-30,danilocardoso@ribeiro.com,81 5596 1564,"Residencial de Mendes, 550, Cardoso, 28406-585 Cardoso das Pedras / PR",1982-04-14,Engenheiro de iluminação,63531,Divorciado
27986,Carolina Moraes,031.456.978-20,emanuelly84@da.com,+55 51 2284 9878,"Lago de Cunha, 48, Pirineus, 66756-483 Ribeiro / RO",1964-08-03,Taxidermista/Embalsamador,80790,Viúvo
27987,Lara Cardoso,409.268.135-60,fariasgiovanna@silva.com,+55 84 3242 7641,"Colônia Cauã Ribeiro, 41, Vale Do Jatoba, 09660-577 Nunes de Sales / TO",1954-12-13,Brigadeiro,79174,Casado
27988,Vitor Novaes,791.682.043-96,theo39@hotmail.com,31 7958 2016,"Recanto Miguel da Luz, 2, Vila Da Amizade, 41282643 Rocha Grande / TO",1956-08-16,Publicitário,91546,Viúvo
27989,Miguel Barros,237.651.948-91,laura06@hotmail.com,61 4334 7242,"Fazenda Lívia Viana, 73, Camargos, 01607870 Gonçalves / AM",1984-01-22,Atleta de tiro com arco,22830,Solteiro
27990,Emanuelly Nunes,359.041.782-04,emilly06@moura.net,(051) 4217-5392,"Vila de Oliveira, 5, Marajó, 19929-425 Gonçalves Paulista / PB",1969-09-26,Marinheiro,12570,Viúvo
27991,Sophie Aragão,936.512.048-98,da-costadanilo@da.br,+55 (071) 3566-7418,"Aeroporto da Paz, 9, Vila Inestan, 35730-768 Carvalho de Peixoto / ES",1958-10-24,Moleiro,95779,Divorciado
27992,Yuri Monteiro,345.298.170-32,evelyn06@bol.com.br,(011) 0966-6436,"Colônia de Pereira, 58, Nossa Senhora De Fátima, 77142-793 Cunha / MA",2003-10-21,Oftalmologista,92217,Solteiro
27993,Maria Vitória da Rosa,571.249.360-80,ccostela@cardoso.net,+55 (071) 0696 9114,"Núcleo Monteiro, 78, Vila Fumec, 57289229 Oliveira / RR",1952-01-12,Cartógrafo,92956,Viúvo
27994,Gabrielly da Conceição,974.658.301-84,pmelo@bol.com.br,+55 (071) 8744-0110,"Lago Cauã Ribeiro, 961, Pedreira Padro Lopes, 94327492 Araújo de Barros / PA",1972-09-30,Anestesiologista,30975,Divorciado
27995,Daniela Peixoto,639.528.417-73,valmeida@hotmail.com,+55 51 3642 3598,"Feira Pedro Henrique da Rocha, 49, São João, 28450620 Almeida do Norte / RR",2000-10-17,Contra regra,69421,Solteiro
27996,Emilly Moreira,073.286.194-22,joaobarros@uol.com.br,(071) 9892-5042,"Sítio de Moura, 8, Vila Havaí, 62334409 Alves / PI",1979-03-26,Apicultor,90409,Casado
27997,Enzo Jesus,796.013.285-21,rochathales@oliveira.br,21 6114 0815,"Campo de da Costa, 23, Vila Satélite, 42676-951 Gomes / CE",1966-12-28,Infectologista,37200,Divorciado
27998,Igor Cunha,906.752.341-07,ramoskevin@ig.com.br,+55 (021) 9643 7199,"Pátio de Pinto, 98, Lajedo, 56938-711 Fogaça / RN",1944-03-12,Baixista,93109,Divorciado
27999,Nina Dias,329.674.108-96,alicia94@ig.com.br,(061) 3629-5424,"Setor Kamilly Moreira, 65, Belmonte, 36610-122 Aragão do Galho / MG",1972-05-31,Dogueiro,2647,Solteiro
28000,Vitor Gabriel Souza,850.164.973-20,guilhermemonteiro@yahoo.com.br,+55 (051) 2114-1042,"Via Isabelly Viana, 21, Flavio De Oliveira, 01420224 Almeida / MT",1984-01-17,Instalador de painéis,71948,Casado
28001,Henrique Santos,356.840.712-44,uda-rocha@yahoo.com.br,+55 21 1383-1886,"Morro de Azevedo, 54, Itaipu, 04950491 Oliveira / DF",1935-09-29,Mensageiro,25279,Divorciado
28002,Stella da Rosa,890.354.167-75,caldeiraraul@moura.com,(051) 8502-9088,"Feira Stephany Oliveira, 6, Cidade Jardim Taquaril, 82211319 Campos do Sul / BA",1962-10-12,Guia turistico,35661,Solteiro
28003,Ana Almeida,728.640.315-07,nunesnina@yahoo.com.br,(071) 9542 3176,"Lago Joaquim Silva, Vila Nova Gameleira 2ª Seção, 64157-472 Almeida / SC",1950-08-05,Terapeuta ocupacional,14061,Divorciado
28004,Srta. Joana da Mota,159.032.764-07,elopes@uol.com.br,+55 31 5321-6014,"Lago Rodrigues, 99, Lagoinha, 88602269 Nogueira / MT",1994-08-13,Agente de viagens,22574,Casado
28005,Pietra Gomes,851.402.639-98,ymelo@freitas.com,+55 61 9092 6396,"Distrito da Luz, São Bento, 88677676 Barbosa Grande / SC",1973-02-18,Contábil,16313,Viúvo
28006,Bernardo Caldeira,184.796.023-50,sophie79@silveira.net,+55 84 3311 5955,"Rua Luana Caldeira, 55, Vila Minaslandia, 03712-756 Jesus / MT",1985-08-30,Agente de defesa sanitária animal,50030,Viúvo
28007,Juliana da Rocha,152.640.987-94,anthony23@uol.com.br,0500-331-1758,"Recanto da Rosa, 14, Betânia, 48656-792 da Mata das Flores / GO",2002-01-21,Restaurador,89754,Divorciado
28008,Maria Eduarda Martins,689.543.702-92,alicia91@ig.com.br,31 2809-8704,"Trevo de Rodrigues, 52, Aguas Claras, 85609233 Pires / GO",1965-11-07,Trilheiro ou músico de cinema,1982,Solteiro
28009,Pedro Henrique Monteiro,485.603.921-06,maria-claravieira@pereira.br,+55 (051) 9419-8607,"Fazenda Campos, 95, Baleia, 17167258 Alves / PE",1969-09-16,Encarregado de manutenção predial,24102,Casado
28010,Joana Barros,023.189.645-05,brenda78@yahoo.com.br,(011) 9554-0731,"Estação de Gonçalves, 93, Salgado Filho, 09836133 Cardoso / PA",1952-08-27,Angiologista,89184,Casado
28011,Srta. Clarice Melo,267.415.830-17,marianabarros@hotmail.com,(041) 0141 1599,"Ladeira Julia da Rocha, 56, Vila Santa Monica 2ª Seção, 39771-603 da Cunha do Oeste / AL",1941-02-03,Mergulhador,24803,Divorciado
28012,João Miguel Cavalcanti,634.852.790-56,da-conceicaoanthony@bol.com.br,+55 41 1846-6524,"Loteamento de Araújo, 53, Vila De Sá, 08610853 Lima do Sul / RN",1950-09-04,Atleta de arremesso de peso,24914,Solteiro
28013,Luiz Otávio das Neves,576.480.931-20,ana-sophiaviana@bol.com.br,+55 81 4465-1649,"Praia Vitória Silveira, 716, União, 20680338 Melo de Ribeiro / RS",1963-03-20,Bóia-fria,46615,Viúvo
28014,Thales Barros,037.264.189-03,amandasouza@rezende.br,+55 81 9376 6456,"Morro Manuela Silveira, 52, Ermelinda, 13378922 Duarte da Prata / PI",2000-04-28,Agrimensor,281,Casado
28015,Emanuel Rocha,542.971.386-46,luiz-gustavo16@fogaca.br,+55 (061) 5547-9423,"Largo Rocha, Vila Nova Gameleira 1ª Seção, 95455-307 Araújo da Mata / RO",2006-12-16,Chargista,31290,Casado
28016,Pietra Oliveira,257.684.310-71,daniela34@ig.com.br,+55 81 2144-5209,"Praia de Gomes, 5, Zilah Sposito, 82799489 Lopes / AC",1951-03-27,Agrônomo,43335,Viúvo
28017,Amanda Carvalho,162.453.079-61,da-matanoah@ig.com.br,+55 (061) 8550-1423,"Setor Bryan Gomes, 23, Taquaril, 07938-639 Aragão / ES",1954-06-06,Diretor de fotografia,84616,Viúvo
28018,Larissa Barros,267.195.843-91,rodrigueslais@araujo.br,+55 21 9547 9183,"Avenida Nogueira, 283, Piratininga, 88236-720 da Paz / GO",1959-10-26,Agente funerário,95433,Viúvo
28019,João Lucas Alves,498.672.153-46,peixotopedro-henrique@jesus.com,+55 (081) 4842-5763,"Parque Vicente Pinto, 45, Pongelupe, 68118-007 das Neves Verde / AP",1946-04-21,Embaixador,47208,Divorciado
28020,Gabrielly Peixoto,439.807.162-87,duartemaria-sophia@freitas.net,+55 (084) 9146 8425,"Jardim Barbosa, 15, São Benedito, 42983814 Ramos do Galho / SC",1944-06-06,Atuário,28434,Solteiro
28021,Joana Cunha,942.570.136-99,nathan37@hotmail.com,81 0719-2264,"Avenida Davi Costela, 97, Outro, 54541682 Cardoso de Farias / PA",1941-07-13,Apicultor,53845,Viúvo
28022,Enzo Gabriel Melo,934.826.570-92,evelyn40@gmail.com,+55 31 6870 1557,"Trecho Sofia Ramos, 72, Ipiranga, 74199-037 Nogueira do Norte / PR",1991-01-20,Técnico em óptica,95481,Divorciado
28023,Maria Julia Lopes,635.240.918-06,xcardoso@gmail.com,0300-470-0755,"Núcleo Campos, São Pedro, 19403-948 Santos de Vieira / SP",1991-04-25,Químico farmacêutico,65535,Divorciado
28024,Clara Silva,754.328.901-60,omoraes@oliveira.com,31 4756 1260,"Parque Nunes, 45, Providencia, 78277473 Fernandes / PR",1984-07-23,Faxineiro,88680,Casado
28025,Pedro Henrique Porto,953.407.618-00,prezende@ig.com.br,(011) 4457 0894,"Rua Lucca Carvalho, 96, Vila Piratininga Venda Nova, 34312692 Rezende de Aragão / BA",1968-04-07,Deputado,18393,Casado
28026,Pedro Henrique Silveira,314.859.607-20,daniel53@santos.com,(031) 3909-0155,"Passarela Moreira, 47, Bernadete, 04760-280 Martins do Sul / CE",2002-09-15,Perito judicial,90204,Divorciado
28027,Emanuelly da Rocha,105.247.968-58,da-rosamaria-julia@yahoo.com.br,(081) 9306-0086,"Viaduto Moraes, 56, Nossa Senhora Da Aparecida, 34452958 Correia de Minas / RS",1944-10-18,Necromaquiador,25257,Solteiro
28028,Laura Cavalcanti,397.482.601-78,hcosta@uol.com.br,(021) 3414 5402,"Loteamento Ferreira, 79, Pindorama, 36070932 Viana / AM",1989-04-13,Fonoaudiólogo,95161,Viúvo
28029,Srta. Sarah da Cunha,846.357.910-84,luiz-fernando10@goncalves.br,0900 711 1903,"Praça de Alves, 361, Nossa Senhora Do Rosário, 04872-605 da Rocha do Sul / SC",1969-12-23,Notário,44388,Solteiro
28030,João Lucas Araújo,673.954.802-10,portoalicia@bol.com.br,71 2539 8995,"Sítio da Luz, Belmonte, 17180-568 Oliveira / BA",1985-12-16,Escultor,90452,Casado
28031,Felipe Moura,890.564.271-30,ramosvitor-hugo@fernandes.com,21 4921-3249,"Viaduto Ramos, 83, Santa Cecilia, 85621303 da Mata / AC",1994-09-19,Piloto automobilístico,56035,Casado
28032,Sra. Beatriz Freitas,476.839.025-00,ynascimento@yahoo.com.br,71 3160 2693,"Lagoa Marcelo Barbosa, 64, Conjunto Capitão Eduardo, 89108-990 Dias / RJ",1954-04-15,Técnico em arquivo,13187,Viúvo
